College,Geographic Location,city_lat,city_lon,ann_rain_inch,ann_snow_inch,min_jan,min_feb,min_mar,min_apr,min_may,min_jun,min_jul,min_aug,min_sep,min_oct,min_nov,min_dec,max_jan,max_feb,max_mar,max_apr,max_may,max_jun,max_jul,max_aug,max_sep,max_oct,max_nov,max_dec
James Madison,"Harrisonburg, VA",38.4493315,-78.8688833,54.19,10.61,20.4,21.8,29.2,37.9,48.3,58.2,62.1,60.5,52.6,41.1,31.9,23.8,40.3,44.1,52.8,63.2,72.4,81.2,84.9,83.6,76.5,65.6,54.6,43.6
Kansas,"Lawrence, KS",38.9719384,-95.2359496,37.78,1.71,18.3,22.0,31.5,42.6,54.1,63.5,68.4,66.2,56.9,45.4,32.7,21.5,38.5,44.3,54.8,64.6,74.4,83.4,88.6,87.8,79.0,67.5,53.8,40.6
Kansas St.,"Manhattan, KS",39.1836082,-96.5716694,37.82,1.18,17.5,21.3,30.3,41.7,53.6,63.0,68.3,65.8,55.8,43.2,30.8,20.0,40.7,46.6,57.0,67.3,76.7,86.1,91.5,90.2,81.8,69.7,55.4,42.5
Kansas State,"Manhattan, KS",39.1836082,-96.5716694,37.82,1.18,17.5,21.3,30.3,41.7,53.6,63.0,68.3,65.8,55.8,43.2,30.8,20.0,40.7,46.6,57.0,67.3,76.7,86.1,91.5,90.2,81.8,69.7,55.4,42.5
Kent State,"Kent, OH",41.1536674,-81.357886,33.74,2.84,22.2,23.8,30.9,41.7,51.3,60.9,64.8,63.5,56.6,45.7,37.0,26.6,34.5,38.0,47.8,60.4,70.2,79.4,83.0,81.6,73.5,61.4,50.0,37.9
Kentucky,"Lexington, KY",38.0464066,-84.4970393,47.9,0.32,24.9,28.1,35.7,44.7,53.9,62.5,66.3,65.0,57.5,46.6,37.3,28.0,40.9,45.6,55.4,65.8,74.4,82.9,86.1,85.6,78.8,67.5,55.4,43.9
Lane (TN),"Lane, TN",36.1942358,-89.3622943,51.58,0.25,26.3,30.2,38.1,47.1,56.6,65.2,68.8,67.3,58.6,46.8,37.9,29.5,45.1,49.8,60.1,69.8,78.4,86.5,89.3,88.8,82.5,72.5,60.1,48.6
Liberty,"Lynchburg, VA",37.4137536,-79.1422464,43.43,0.85,23.6,25.6,31.7,40.2,49.6,59.2,63.3,62.0,55.3,41.7,33.0,26.0,46.0,49.6,58.6,67.5,74.5,82.0,84.4,83.9,78.1,68.8,59.3,48.7
Louisiana,"Lafayette, LA",30.2240897,-92.0198427,60.5,0,29.5,33.1,39.2,45.9,55.1,63.2,66.9,66.6,59.7,48.4,39.0,31.6,55.5,59.9,67.9,75.4,82.2,87.9,90.7,89.6,84.7,75.6,66.4,57.1
Louisiana St,"Baton Rouge, LA",30.4459596,-91.18738,61.77,0.02,37.2,40.6,47.1,53.3,61.7,68.1,70.5,70.4,65.2,54.3,46.1,39.0,60.6,64.6,72.0,78.5,85.5,90.5,92.0,92.3,88.9,80.8,71.4,62.7
Louisiana State,"Baton Rouge, LA",30.4459596,-91.18738,61.77,0.02,37.2,40.6,47.1,53.3,61.7,68.1,70.5,70.4,65.2,54.3,46.1,39.0,60.6,64.6,72.0,78.5,85.5,90.5,92.0,92.3,88.9,80.8,71.4,62.7
Louisiana Tech,"Ruston, LA",32.5232053,-92.637927,55.75,0.03,32.8,36.1,42.8,50.5,59.7,66.7,69.7,69.0,62.4,51.6,42.7,34.8,54.9,58.9,67.0,74.9,81.9,88.4,91.6,91.9,86.0,76.1,66.0,56.6
Louisiana-Lafayette,"Lafayette, LA",30.2240897,-92.0198427,60.5,0,29.5,33.1,39.2,45.9,55.1,63.2,66.9,66.6,59.7,48.4,39.0,31.6,55.5,59.9,67.9,75.4,82.2,87.9,90.7,89.6,84.7,75.6,66.4,57.1
Louisiana-Monroe,"Monroe, LA",38.2722313,-90.1792484,42.41,1.51,23.3,26.8,36.4,45.8,55.4,64.6,68.2,66.4,58.8,48.0,37.7,26.6,39.2,44.2,55.0,66.5,75.8,84.4,87.7,87.1,79.5,68.0,55.7,42.4
Louisville,"Louisville, KY",38.2542376,-85.759407,43.26,1.24,26.5,29.7,37.4,47.0,56.2,65.5,68.5,68.0,59.2,47.7,38.5,29.4,42.5,46.6,56.6,67.1,76.3,84.6,87.2,87.1,80.0,68.7,56.4,45.1
