pick,team,year,player,pos,college,weight,height_inches
17,LAC,2018,Derwin James,S,Florida St.,215,75
190,BAL,2018,Deshon Elliott,S,Texas,205,74
300,NA,2018,Dimitri Flowers,RB,Oklahoma,248,74
300,NA,2018,Dominick Sanders,S,Georgia,193,72
300,NA,2018,Donnie Ernsberger,RB,Western Michigan,241,75
55,CAR,2018,Donte Jackson,CB,LSU,175,71
100,KAN,2018,Dorian O'daniel,OLB,Clemson,223,73
56,NWE,2018,Duke Dawson,CB,Florida,208,70
177,HOU,2018,Duke Ejiofor,DE,Wake Forest,264,76
123,MIA,2018,Durham Smythe,TE,Notre Dame,253,77
191,LAC,2018,Dylan Cantrell,WR,Texas Tech,226,75
300,NA,2018,Eddy Wilson,DT,Purdue,301,76
207,GNB,2018,Equanimeous St. brown,WR,Notre Dame,214,77
20,DET,2018,Frank Ragnow,C,Arkansas,312,77
70,SFO,2018,Fred Warner,OLB,BYU,236,75
300,NA,2018,Garret Dooley,DE,Wisconsin,248,75
150,CLE,2018,Genard Avery,ILB,Memphis,248,73
74,WAS,2018,Geron Christian,OT,Louisville,298,77
300,NA,2018,Godwin Igwebuike,S,Northwestern,205,72
300,NA,2018,Grant Haley,CB,Penn St.,190,69
41,TEN,2018,Harold Landry,DE,Boston College,252,75
96,BUF,2018,Harrison Phillips,DT,Stanford,307,76
25,BAL,2018,Hayden Hurst,TE,South Carolina,250,76
300,NA,2018,Henre Toliver,CB,Arkansas,185,73
300,NA,2018,Hercules Mata'afa,DE,Washington St.,254,73
300,NA,2018,Holton Hill,CB,Texas,200,75
101,CAR,2018,Ian Thomas,TE,Indiana,259,76
99,DEN,2018,Isaac Yiadom,CB,Boston College,190,73
58,ATL,2018,Isaiah Oliver,CB,Colorado,190,73
23,NWE,2018,Isaiah Wynn,OG,Georgia,313,75
300,NA,2018,J.C. Jackson,CB,Maryland,193,71
300,NA,2018,J.T. Barrett,QB,Ohio St.,224,73
202,TAM,2018,Jack Cichy,ILB,Wisconsin,238,74
300,NA,2018,Jacob Pugh,OLB,Florida St.,246,76
18,GNB,2018,Jaire Alexander,CB,Louisville,192,71
132,BAL,2018,Jaleel Scott,WR,New Mexico St.,218,77
102,MIN,2018,Jalyn Holmes,DE,Ohio St.,283,77
168,SEA,2018,Jamarco Jones,OT,Ohio St.,299,76
300,NA,2018,Jamarcus King,CB,South Carolina,186,73
39,CHI,2018,James Daniels,C,Iowa,306,75
300,NA,2018,James Hearns,DE,Louisville,239,75
232,GNB,2018,James Looney,DE,California,287,75
60,PIT,2018,James Washington,WR,Oklahoma St.,213,71
300,NA,2018,Jarvion Franklin,RB,Western Michigan,239,71
300,NA,2018,Jason Cabinda,ILB,Penn St.,239,73
300,NA,2018,Javon Rolland-Jones,DE,Arkansas State,253,74
224,CHI,2018,Javon Wims,WR,Georgia,215,75
165,PIT,2018,Jaylen Samuels,TE,North Carolina St.,225,71
300,NA,2018,Jeff Holland,DE,Auburn,249,74
73,MIA,2018,Jerome Baker,OLB,Ohio St.,229,73
54,CIN,2018,Jessie Bates,S,Wake Forest,195,74
300,NA,2018,Jester Weah,WR,Pittsburgh,211,74
115,CHI,2018,Joel Iyiegbuniwe,OLB,Western Kentucky,229,73
300,NA,2018,John Atkins,DT,Georgia,321,76
176,LAR,2018,John Kelly,RB,Tennessee,216,70
300,NA,2018,Jojo Wicker,DE,Arizona State,296,75
98,HOU,2018,Jordan Akins,TE,Central Florida,249,75
162,BAL,2018,Jordan Lasley,WR,UCLA,203,73
300,NA,2018,Jordan Thomas,TE,Mississippi St.,265,77
300,NA,2018,Jordan Thomas,CB,Oklahoma,186,72
117,TAM,2018,Jordan Whitehead,S,Pittsburgh,195,71
169,IND,2018,Jordan Wilkins,RB,Mississippi,216,73
89,LAR,2018,Joseph Noteboom,OT,TCU,309,77
106,DEN,2018,Josey Jewell,ILB,Iowa,234,73
300,NA,2018,Josh Adams,RB,Notre Dame,213,74
7,BUF,2018,Josh Allen,QB,Wyoming,237,77
45,GNB,2018,Josh Jackson,CB,Iowa,192,73
10,ARI,2018,Josh Rosen,QB,UCLA,226,76
130,PHI,2018,Josh Sweat,DE,Florida St.,251,76
246,PIT,2018,Joshua Frazier,DT,Alabama,321,76
300,NA,2018,Joshua Kalu,S,Nebraska,195,73
300,NA,2018,Justin Crawford,RB,West Virginia,199,71
251,LAC,2018,Justin Jackson,RB,Northwestern,199,72
84,LAC,2018,Justin Jones,DT,North Carolina St.,309,74
68,HOU,2018,Justin Reid,S,Stanford,204,73
198,KAN,2018,Kahlil McKenzie,DT,Tennessee,314,77
131,MIA,2018,Kalen Ballage,RB,Arizona State,228,73
300,NA,2018,Kameron Kelly,S,San Diego St.,200,74
189,NOR,2018,Kamrin Moore,CB,Boston College,200,71
